Partner, Date, Manager Nickname, Worker Nickname, Number, Partner Nickname, Partner ID, Money Out, Money In, Type
P, 01-09-2015, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0, M
P, 01-09-2015, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0, M
P, 01-09-2015, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0, M
P, 01-09-2015, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0, M
P, 01-09-2015, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0, M
P, 01-09-2015, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0, M
P, 01-09-2015, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0, M
P, 01-09-2015, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0, M
P, 01-09-2015, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0, M
P, 10-01-2015, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0, M
P, 10-01-2015, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0, M
P, 10-01-2015, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0, M
P, 10-01-2015, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0, M
P, 10-01-2015, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0, M
P, 10-01-2015, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0, M
P, 10-01-2015, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0, M
P, 10-01-2015, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0, M
P, 10-01-2015, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0, M
P, 10-01-2016, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0, M
P, 10-01-2016, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0, M
P, 10-01-2016, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0, M
P, 10-01-2016, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0, M
P, 10-01-2016, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0, M
P, 10-01-2016, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0, M
P, 10-01-2016, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0, M
P, 10-01-2016, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0, M
P, 10-01-2016, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0, M
P, 10-10-2015, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0, M
P, 10-10-2015, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0, M
P, 10-10-2015, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0, M
P, 10-10-2015, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0, M
P, 10-10-2015, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0, M
P, 10-10-2015, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0, M
P, 10-10-2015, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0, M
P, 10-10-2015, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0, M
P, 10-10-2015, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0, M
P, 10-02-2016, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0, M
P, 10-02-2016, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0, M
P, 10-02-2016, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0, M
P, 10-02-2016, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0, M
P, 10-02-2016, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0, M
P, 10-02-2016, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0, M
P, 10-02-2016, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0, M
P, 10-02-2016, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0, M
P, 10-02-2016, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0, M
P, 10-04-2016, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0, M
P, 10-04-2016, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0, M
P, 10-04-2016, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0, M
P, 10-04-2016, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0, M
P, 10-04-2016, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0, M
P, 10-04-2016, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0, M
P, 10-04-2016, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0, M
P, 10-04-2016, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0, M
P, 10-04-2016, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0, M
P, 10-05-2015, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0, M
P, 10-05-2015, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0, M
P, 10-05-2015, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0, M
P, 10-05-2015, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0, M
P, 10-05-2015, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0, M
P, 10-05-2015, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0, M
P, 10-05-2015, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0, M
P, 10-05-2015, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0, M
P, 10-05-2015, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0, M
P, 10-06-2015, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0, M
P, 10-06-2015, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0, M
P, 10-06-2015, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0, M
P, 10-06-2015, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0, M
P, 10-06-2015, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0, M
P, 10-06-2015, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0, M
P, 10-06-2015, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0, M
P, 10-06-2015, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0, M
P, 10-06-2015, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0, M
P, 10-07-2016, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0, M
P, 10-07-2016, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0, M
P, 10-07-2016, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0, M
P, 10-07-2016, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0, M
P, 10-07-2016, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0, M
P, 10-07-2016, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0, M
P, 10-07-2016, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0, M
P, 10-07-2016, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0, M
P, 10-07-2016, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0, M
P, 10-08-2016, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0, M
P, 10-08-2016, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0, M
P, 10-08-2016, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0, M
P, 10-08-2016, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0, M
P, 10-08-2016, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0, M
P, 10-08-2016, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0, M
P, 10-08-2016, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0, M
P, 10-08-2016, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0, M
P, 10-08-2016, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0, M
P, 11-01-2015, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0, M
P, 11-01-2015, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0, M
P, 11-01-2015, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0, M
P, 11-01-2015, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0, M
P, 11-01-2015, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0, M
P, 11-01-2015, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0, M
P, 11-01-2015, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0, M
P, 11-01-2015, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0, M
P, 11-01-2015, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0, M
P, 11-10-2015, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0, M
P, 11-10-2015, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0, M
P, 11-10-2015, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0, M
P, 11-10-2015, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0, M
P, 11-10-2015, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0, M
P, 11-10-2015, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0, M
P, 11-10-2015, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0, M
P, 11-10-2015, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0, M
P, 11-10-2015, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0, M
P, 11-11-2015, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0, M
P, 11-11-2015, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0, M
P, 11-11-2015, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0, M
P, 11-11-2015, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0, M
P, 11-11-2015, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0, M
P, 11-11-2015, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0, M
P, 11-11-2015, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0, M
P, 11-11-2015, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0, M
P, 11-11-2015, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0, M
P, 11-02-2015, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0, M
P, 11-02-2015, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0, M
P, 11-02-2015, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0, M
P, 11-02-2015, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0, M
P, 11-02-2015, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0, M
P, 11-02-2015, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0, M
P, 11-02-2015, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0, M
P, 11-02-2015, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0, M
P, 11-02-2015, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0, M
P, 11-03-2015, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0, M
P, 11-03-2015, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0, M
P, 11-03-2015, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0, M
P, 11-03-2015, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0, M
P, 11-03-2015, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0, M
P, 11-03-2015, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0, M
P, 11-03-2015, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0, M
P, 11-03-2015, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0, M
P, 11-03-2015, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0, M
P, 11-04-2015, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0, M
P, 11-04-2015, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0, M
P, 11-04-2015, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0, M
P, 11-04-2015, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0, M
P, 11-04-2015, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0, M
P, 11-04-2015, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0, M
P, 11-04-2015, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0, M
P, 11-04-2015, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0, M
P, 11-04-2015, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0, M
P, 11-05-2016, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0, M
P, 11-05-2016, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0, M
P, 11-05-2016, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0, M
P, 11-05-2016, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0, M
P, 11-05-2016, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0, M
P, 11-05-2016, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0, M
P, 11-05-2016, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0, M
P, 11-05-2016, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0, M
P, 11-05-2016, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0, M
P, 11-06-2016, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0, M
P, 11-06-2016, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0, M
P, 11-06-2016, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0, M
P, 11-06-2016, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0, M
P, 11-06-2016, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0, M
P, 11-06-2016, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0, M
P, 11-06-2016, MalayP1, รายการโป๊ว, 7, อ้อยซ้ายขวัญ, อ้อยซ้ายขวัญ, 0.0, 0.0, M
P, 11-06-2016, MalayP1, รายการโป๊ว, 8, RN, RN, 0.0, 0.0, M
P, 11-06-2016, MalayP1, รายการโป๊ว, 9, ม, ม, 0.0, 0.0, M
P, 11-07-2015, MalayP1, รายการโป๊ว, 1, ปีนัง, 1.0, 0.0, 0.0, M
P, 11-07-2015, MalayP1, รายการโป๊ว, 2, อลอนสตาร์, อลอนสตาร์, 0.0, 0.0, M
P, 11-07-2015, MalayP1, รายการโป๊ว, 3, ปีนัง, 2.0, 0.0, 0.0, M
P, 11-07-2015, MalayP1, รายการโป๊ว, 4, T5, T5, 0.0, 0.0, M
P, 11-07-2015, MalayP1, รายการโป๊ว, 5, โกว, โกว, 0.0, 0.0, M
P, 11-07-2015, MalayP1, รายการโป๊ว, 6, สมชาย, สมชาย, 0.0, 0.0, M
